name,x,y,z
cane_syrup,7.289839,5.283716,-5.05946
cane_vinegar,7.5081434,5.3457875,-5.865092
cannellini_bean,8.101483,5.0918474,-5.74195
cannoli_shell,7.955252,3.2144094,-0.8208606
canola_oil,8.446378,4.4939904,-5.780952
cantal_cheese,7.8173437,5.6534224,-4.8991337
cantaloupe,8.810715,2.62667,-1.532615
cape_gooseberry,8.337498,3.2670865,-1.1517813
capelin,8.17822,4.8281393,-3.568724
caper,8.732451,4.953019,-5.827898
caperberry,7.9006324,4.7601814,-4.606485
capicola,8.40217,5.7762847,-5.0645905
capon,8.510444,3.9469404,-5.2130337
caramel,7.976177,2.9401298,-1.1054807
caraway_seed,8.596767,4.8844843,-5.1238637
cardamom,8.43022,3.4446084,-1.9924289
cardoon,8.147669,5.284904,-4.863185
carob,7.2030325,3.054607,-1.9440782
carob_molasses,7.428853,3.4527633,-1.672601
carp,8.771403,2.0576406,-5.8715234
carrageenan,7.477699,2.65363,-1.6818633
carrot,8.74905,4.2413735,-6.0211525
carrot_top,7.5774612,4.9077554,-5.293749
cartilage,8.703202,1.5417824,-5.5979104
cascabel_chile,7.246341,5.870705,-6.233438
cashew,7.212123,3.0244262,-2.1279798
cassava,6.8701663,2.259654,-5.4163556
catfish,7.889,2.7464952,-5.653344
catnip,8.408586,1.6128206,-5.6580963
cattail,7.9545846,1.5225888,-4.511498
caul_fat,8.133212,1.4783622,-5.559641
cauliflower,8.731815,4.340379,-5.916138
cava,9.163054,3.3316355,-0.92434734
caviar,8.138394,2.9909158,-5.965626
cayenne_pepper,8.444459,4.8500547,-5.819447
celeriac,8.489624,4.752081,-4.972507
celery,8.747297,4.6425266,-5.9410257
celery_seed,7.8411326,5.4214272,-6.0029736
celtuce,8.664458,1.7559212,-5.8618374
century_egg,8.692906,2.0521352,-5.5854673
cereal,7.6299715,3.242727,-1.6460952
chaat_masala,5.578239,3.9866579,-4.739938
chai_spice,7.9639673,3.240699,-0.8855906
chamomile,8.508086,3.4022574,-1.4434973
champagne,9.146762,3.122532,-0.99913394
champagne_vinegar,8.340658,4.734563,-5.1593547
chana_dal,5.5662827,3.95071,-4.702512
chanterelle_mushroom,8.679294,4.9774337,-4.906463
chaozhou_salted_vegetable,8.284726,1.2141557,-5.571139
char_siu_pork,8.210523,1.8337843,-5.322644
char_siu_sauce,8.315555,1.9475353,-5.4924927
chartreuse,9.277475,3.4125922,-0.74813145
chayote,7.2392454,2.9104505,-5.328465
cheddar_cheese,8.230104,5.954023,-5.946097
cheese,8.75196,4.7893305,-6.0473976
cheongyang_chili,7.919118,1.7263324,-6.0563655
cherry,8.768577,3.1056728,-1.465464
cherry_blossom,7.89084,2.1258087,-1.8105056
cherry_leaf,7.996351,3.9824753,-1.9534286
cherry_liqueur,8.616231,3.037689,-0.90958965
cherry_pepper,8.286678,5.702698,-5.1521273
cherry_plum,7.9085484,4.3810205,-2.5347917
chervil,8.505171,4.7296615,-5.4432406
cheshire_cheese,7.7017813,5.416806,-4.622438
chestnut,8.137584,1.7722307,-3.6168518
chia_seed,7.3036284,2.959176,-2.0833066
chicha,6.5718894,5.5184574,-5.7658625
chicken,8.731072,3.8981686,-5.9987335
chicken_broth,8.914814,3.1212385,-5.8829618
chicken_fat,8.481749,1.7909424,-5.1396585
chickpea,8.083933,4.3600097,-5.2596893
chicory,8.088071,3.087388,-5.724615
chihuahua_cheese,7.1826057,5.9055743,-6.231655
chikuwa,8.0715275,2.3257725,-6.5919166
chile_de_arbol,7.3025804,5.6800723,-6.248663
chili_garlic_sauce,8.642042,2.314675,-5.7706027
chili_oil,8.895672,2.2355351,-5.820538
chili_paste,7.962411,2.6059713,-5.7845626
chili_pepper,8.897159,2.8674347,-5.9380527
chili_powder,8.754233,3.995415,-6.1011086
chili_sauce,8.85485,2.437174,-5.818473
chiltepin,7.1563406,5.8100677,-6.2129083
chinese_bayberry,8.3989315,1.9562209,-2.2376723
chinese_broccoli,8.614198,1.8418429,-5.6164904
chinese_celery,8.391868,1.9438137,-5.4168787
chinese_cured_pork,8.504813,1.770192,-5.303058
chinese_preserved_olive,8.669842,1.5842599,-5.492569
chinese_sausage,8.256958,1.8941505,-5.258637
chinese_toon,8.596503,1.7623751,-5.7290425
chinese_yam,8.37978,1.5707185,-3.6934843
chipotle_pepper,7.4765162,5.778811,-6.2322297
chirimen_jako,7.820811,2.4966164,-6.776187
chive,9.034098,2.8957448,-5.807724
chive_flower,8.537714,1.9654564,-5.660914
chocolate,8.0082035,2.940716,-1.2173567
chocolate_hazelnut_spread,7.8782864,2.9981654,-0.9748606
chocolate_liqueur,8.362119,3.1164222,-0.68477136
chokecherry,8.087131,3.5810504,-1.0529643
choricero_pepper,7.2272377,5.206534,-5.4633317
chorizo,7.487209,5.4584455,-5.930789
choux_pastry,7.813601,2.4599345,-1.2590903
choy_sum,8.39362,1.9022019,-5.4415
chrysanthemum,8.335847,1.50314,-3.290594
chu_hou_paste,8.7858,1.9226139,-5.4177175
chunjang,7.9549513,1.4959395,-6.093844
chuno,6.537431,5.492145,-5.715532
chutney,7.5227375,4.645237,-4.898079
ciabatta,8.403783,5.7037926,-4.962197
cicada,8.376773,1.1282827,-5.995956
cinnamon,8.419133,3.3277016,-1.8137927
cipollini_onion,8.321241,5.052094,-5.019982
citric_acid,7.892742,3.7866092,-1.7622343
citron,8.068958,3.435162,-1.151827
citrus,8.430626,1.8692873,-3.2474136
clam,8.25172,3.2617824,-6.0083923
clamato_juice,7.451078,5.7158146,-5.585241
clay_pot_rice_sauce,8.351685,1.3534532,-5.3030105
clear_gel,8.256159,3.4217033,-1.1734914
clementine,8.4638815,3.4013295,-1.1263272
clotted_cream,7.537219,3.4600873,-1.2256519
clove,8.463009,3.4586751,-1.9587972
clover,8.675816,1.56996,-5.475655
club_soda,9.095019,3.2032554,-1.0217956
cobia,6.9667134,1.9658383,-5.5940156
cockle,7.8807373,3.9643238,-5.8310227
cocktail_sauce,8.167549,5.7989116,-5.7646127
cocoa_butter,7.502698,2.6637335,-1.6118977
cocoa_mass,7.3872814,2.7818916,-1.4876143
cocoa_powder,7.955753,2.93516,-1.3470678
coconut,7.7937264,2.6765237,-1.6757535
coconut_aminos,7.689724,4.2087607,-5.089688
coconut_cream,7.619573,2.585214,-1.7051439
coconut_liqueur,8.864616,3.075922,-0.8452123
coconut_milk,7.242576,2.5628045,-2.476788
coconut_oil,7.3281384,2.9149156,-2.0370865
coconut_sugar,7.1563582,2.8144076,-2.0362656
coconut_vinegar,7.5091505,2.647399,-1.455546
coconut_water,8.077591,1.9082227,-2.3994226
cod,8.310466,3.150982,-6.0540648
cod_liver,8.173898,4.871235,-3.5180125
coffee,8.08649,2.913079,-1.3044035
coffee_creamer,8.008822,2.923872,-0.77501935
coffee_liqueur,8.293897,2.9973047,-0.78273183
cognac,8.988243,3.4517145,-1.1871655
coix_seed,7.812948,1.7638012,-3.0914283
cola,9.063207,3.2251604,-0.6318762
colby_cheese,8.101855,5.9755263,-5.9816537
cold_jelly_noodle,8.571465,1.1154805,-5.445234
collard_green,7.96888,5.0794554,-5.7788873
comte_cheese,8.205318,5.661035,-4.911103
conch,8.280296,1.472185,-4.4949484
condensed_milk,8.116406,2.620601,-1.5333395
consomme,7.8511677,5.4763856,-5.045386
cookie,8.009385,2.8103993,-1.1437594
cookie_butter,7.8650846,3.059811,-0.7423885
cooking_spray,8.304725,4.948094,-5.760266
copha,7.7569194,3.1499794,-0.798289
cordyceps_flower,8.330571,1.4960631,-4.34381
coriander,8.757997,3.812215,-6.030104
coriander_root,8.097032,2.1066399,-5.449243
corn,8.740462,4.0667,-6.1265345
corn_flakes,7.719004,3.0677,-1.1780454
corn_husk,7.3857546,5.9004474,-6.282611
corn_oil,7.785459,2.0712175,-2.2733383
corn_relish,7.550876,5.5898323,-5.419148
corn_silk,8.180184,1.5078183,-3.5768685
corn_syrup,8.04247,2.8843105,-1.1562095
corn_tortilla,7.611537,5.909115,-6.3068776
cornbread,7.8808374,5.9658604,-6.089291
corned_beef,8.203476,5.937942,-5.954793
cornelian_cherry,7.8726244,4.2975054,-2.4861484
cornmeal,8.165798,3.428861,-2.5275364
cornstarch,8.168237,2.6577697,-1.8135325
corvina,6.6264358,5.4433117,-5.6381893
cotija_cheese,7.282559,5.7585506,-6.2713876
cottage_cheese,7.734849,3.7514257,-1.8050294
cotton_candy,7.491426,2.1527224,-2.2313697
couscous,8.005709,4.7704344,-5.461041
crab,8.236326,3.2629573,-6.0063972
crab_apple,8.691174,3.3299139,-1.6598998
crab_boil_seasoning,7.7344894,5.3249288,-5.8147483
crab_claw_fish,8.575798,1.1447026,-5.885142
crab_mushroom,8.561179,2.1161413,-5.653313
crab_roe,8.112216,2.0689993,-5.5251555
crab_stick,8.272491,2.6978812,-6.2780714
cracker,7.8758373,3.1005514,-1.54699
cranberry,8.674509,2.9814856,-1.4579699
cranberry_liqueur,8.5672035,3.220172,-0.8591754
cranberry_sauce,8.892599,3.122899,-1.0565832
crappie,7.490587,5.274075,-5.526364
crayfish,8.312397,3.158929,-5.9231896
cream,8.236586,2.9466968,-1.6411724
cream_cheese,7.9085226,2.9430363,-1.1083044
cream_liqueur,8.344576,3.0332022,-0.69151443
cream_of_celery_soup,8.149334,6.026634,-6.0164714
cream_of_chicken_soup,8.144037,6.0304837,-6.0331464
cream_of_mushroom_soup,8.110516,6.0278006,-6.021204
